fiber_id,u_px,v_px,X_true_um,Y_true_um,X_meas_um,Y_meas_um,dX_um,dY_um,radial_err_um,detect_success
14,7360.165529149205,5207.556993282423,35490.54879040108,-17064.979340328617,35491.20867792373,-17066.807646537156,-0.659887522648205,1.8283062085392885,1.9437477034661916,True
15,7485.59942291566,5632.870421022386,53457.3152134087,41951.683622849494,53459.486843187406,41951.24763567329,-2.1716297787061194,0.43598717620625393,2.2149629147187753,True
16,6713.754295777763,5319.755288934647,-54301.445617991616,-671.6365649372456,-54301.22738909652,-672.7974492277261,-0.21822889509348897,1.160884290480567,1.1812180944001385,True
17,7268.8916783917975,4469.68960792189,21902.223750645848,-119626.99067867333,21900.552089144818,-119626.05171869772,1.6716615010300302,-0.9389599756104872,1.9173153130939158,True
18,6157.195707387688,5626.699304308369,-131384.44780281046,42713.072149465675,-131383.7689654028,42713.17024275107,-0.6788374076713808,-0.09809328539267881,0.6858881240356404,True
19,7492.5309863503635,5185.243982343883,53879.35092586302,-20332.017000176696,53879.861506821944,-20332.2396368566,-0.510580958922219,0.22263667990409886,0.5570098803905124,True
20,7779.575889013044,6210.145275839304,95082.92361318017,121936.90646884646,95081.78216675796,121935.62822057969,1.1414464222179959,1.2782482667680597,1.7137148439252698,True
21,6658.087307598457,4483.487065218295,-63072.40513531884,-116969.7431053429,-63072.31695407736,-116969.11889892204,-0.08818124148092465,-0.6242064208636293,0.6304043045510551,True
22,7135.011303113392,4883.1780797009305,3775.148401504586,-61921.64651772243,3774.3160378152497,-61921.94885454724,0.8323636893364892,0.30233682481048163,0.8855714917285534,True
23,7158.275580266874,6255.977652057598,8678.546327759192,129055.76098676585,8679.111783691344,129056.75231186449,-0.5654559321519628,-0.9913250986428466,1.1412562650014653,True
24,7982.7429160663505,4447.0367595686785,121223.76721774082,-123669.58685903311,121222.43063430162,-123668.47381866642,1.3365834392025135,-1.1130403666902566,1.7393430219000507,True
25,6167.742158202814,6179.745287527496,-129262.70438434705,119674.85794314489,-129264.38851410194,119673.65908440198,1.6841297548962757,1.1988587429077597,2.067257922169695,True
26,7066.494013169401,5752.39870963197,-4701.315505662962,59089.10238663797,-4702.919941185185,59088.874028602506,1.604435522222957,0.2283580354633159,1.620605052852643,True
27,7509.855973745542,5166.952045219228,56266.46743860014,-22896.569527495085,56268.21082197856,-22898.19446837007,-1.7433833784161834,1.6249408749863505,2.383236969195307,True
28,7455.190760080389,4393.891353107644,47734.745240029384,-130406.61540486167,47733.11588450437,-130406.33232098189,1.6293555250158533,-0.2830838797817705,1.653764163927852,True
29,6332.977253611974,6019.990732780605,-106449.2600554039,97226.6403418621,-106449.11558920269,97227.98476360347,-0.1444662012072513,-1.344421741363476,1.3521613446412581,True
30,6266.042931177038,4966.724947196274,-117032.59481666624,-49250.846648167964,-117034.20985493906,-49251.75036027549,1.6150382728228578,0.9037121075234609,1.8506874927894053,True
31,6523.885469053618,6085.321736062132,-79800.19259974957,106082.84733892334,-79801.29704981598,106083.03214646698,1.1044500664138468,-0.18480754364281893,1.1198052408293342,True
32,7977.259798568823,5159.389540031259,121302.36770797832,-24521.533121248096,121302.7751435494,-24521.258011975086,-0.4074355710763484,-0.2751092730104574,0.4916186089588682,True
33,7955.1143183570275,4899.7593940901725,117909.89692998136,-60619.85422248181,117909.41145174848,-60621.59359536645,0.4854782328766305,1.7393728846436716,1.8058535783475533,True
34,6663.503526381322,5496.656139215723,-61077.83834298946,23997.491354579135,-61078.57715433878,23999.233776717014,0.7388113493216224,-1.742422137878748,1.8925847712735044,True
35,7693.266687814345,5271.654027737979,81914.02374959012,-8553.99573674114,81915.01034086592,-8554.945119603164,-0.986591275795945,0.9493828620234126,1.3691932530437172,True
36,6571.322229961764,6177.546923991775,-73088.59205669723,118858.8182811958,-73090.18134477329,118860.87686292715,1.5892880760511616,-2.058581731354934,2.6006913183510805,True
37,6637.09598796906,5075.852509867631,-65263.539274479364,-34513.311213763445,-65263.84613400187,-34512.87984936583,0.30685952250496484,-0.4313643976129242,0.5293751128263738,True
38,6465.718499380429,5498.818961595286,-88597.17783357025,24540.00956840234,-88596.88582856947,24541.34485717844,-0.2920050007815007,-1.3352887760993326,1.3668441886543827,True
39,7679.414809048372,5858.871833247054,80705.37753290505,73162.98940387732,80705.29474710267,73164.4599343584,0.08278580238402355,-1.4705304810777307,1.4728589154617182,True
40,7041.336614088833,6062.7485602892075,-7826.075165409435,102305.78991440442,-7826.56251444722,102304.44676753411,0.4873490377849521,1.3431468703056453,1.4288291009920566,True
41,7674.224788454913,5213.962493413342,79193.26156675283,-16556.971975325243,79195.50775967863,-16558.252202068303,-2.246192925798823,1.2802267430597567,2.5854135401428664,True
42,7390.544040017334,5729.005358753399,40352.086838363844,55440.48272078592,40351.69914671865,55441.39194190025,0.38769164519180777,-0.9092211143288296,0.988426955567729,True
43,6290.755342782518,5787.517405156475,-112601.0349791722,64926.46073434831,-112601.10321033564,64927.08570867599,0.06823116344457958,-0.6249743276857771,0.6286878414056455,True
44,7015.531658219393,4814.532633325806,-12929.596830429713,-71328.12870989167,-12931.543638914949,-71328.15365099195,1.9468084852360334,0.02494110028783325,1.946968242337452,True
45,7349.704368479241,5339.9268547602,34197.10256209699,1360.5617772396945,34196.32951289661,1360.9712092538455,0.7730492003756808,-0.40943201415097974,0.8747797668060273,True
46,7341.03574566586,5918.1422981369915,33693.67138475904,81817.91832475326,33694.80867123273,81818.01056205443,-1.137286473684071,-0.09223730117082596,1.141020702245155,True
47,7673.824685667058,4912.410404479111,78777.87424749549,-58513.58754165194,78776.74204030653,-58513.9813147713,1.1322071889590006,0.39377311935822945,1.1987286549755756,True
48,6364.380825023196,6273.025366615418,-101779.94288776856,132411.65245528752,-101780.80577298171,132411.64594746951,0.8628852131514577,0.0065078180050477386,0.8629097535493636,True
49,6156.927328575499,4809.232375343066,-132420.38474171018,-71038.65989626144,-132418.82551895417,-71038.99880379648,-1.5592227560118772,0.3389075350423809,1.5956296312659075,True
50,7984.550912240648,5564.8881929328245,122812.2864687379,31890.98421293276,122810.66076325276,31892.247880280156,1.625705485144863,-1.2636673473971314,2.0590710258045486,True
51,7407.764762924836,5623.043431095339,42617.13497292012,40677.730852751614,42618.28877254497,40678.07211923017,-1.153799624851672,-0.34126647855737247,1.2032108641858286,True
52,6463.138081692851,6074.8046887107585,-88266.65663590745,104693.90477961433,-88268.13105204802,104694.83423540594,1.4744161405687919,-0.9294557916146005,1.7429259950255187,True
